sample_id,station,month,fapar,modis_blue,modis_red,modis_nir,modis_mir,modis_evi,modis_ndvi,modis_lst_day_p05,modis_lst_day_p50,modis_lst_day_p95,modis_lst_night_p05,modis_lst_night_p50,modis_lst_night_p95,wv_yearly_p25,wv_yearly_p50,wv_yearly_p75,wv_monthly_lt_p50,wv_monthly_lt_p25,wv_monthly_lt_p75,wv_monthly_lt_sd,wv_monthly_ts_raw,wv_monthly_ts_smooth,accum_pr_monthly,dtm_slope,dtm_aspect-cosine,dtm_aspect-sine,dtm_downlslope.curvature,dtm_upslope.curvature,dtm_elevation,dtm_cti,dtm_neg.openess,dtm_pos.openess,dtm_vbf
17,103,7,0.0,1646.0,4900.0,5944.0,7024.0,792.0,962.0,15800.0,15928.0,16008.0,15800.0,14944.0,15112.0,1065.0,1225.0,1749.0,2038.0,1769.0,2153.0,276.0,2265.0,2380.0,137.0,0.0,-4901.0,827.0,-1.0,1.0,578.0,301.0,157.0,157.0,696.0
18,57,1,0.5122372,343.0,562.0,1462.0,1045.0,1838.0,4448.0,13600.0,13920.0,14080.0,13600.0,13512.0,13600.0,824.0,1337.0,2580.0,515.0,448.0,562.0,75.0,496.0,530.0,811.0,1.0,9485.0,-213.0,-4.0,-1.0,14.0,606.0,157.0,156.0,654.0
19,43,5,0.02385,873.0,1567.0,2538.0,2724.0,1672.0,2576.0,15344.0,15600.0,16048.0,15344.0,13944.0,14256.0,517.0,646.0,903.0,729.0,678.0,803.0,116.0,782.0,804.0,272.0,3.0,-3921.0,914.0,-3.0,-1.0,1664.0,-1498.0,156.0,156.0,116.0
20,43,12,0.025591137,637.0,1251.0,1925.0,1994.0,1145.0,2122.0,13888.0,14064.0,14456.0,13888.0,13200.0,13424.0,523.0,587.0,1031.0,471.0,416.0,498.0,73.0,401.0,459.0,70.0,3.0,-3921.0,914.0,-3.0,-1.0,1664.0,-1498.0,156.0,156.0,116.0
21,25,8,0.001285,701.0,1766.0,2566.0,3110.0,1118.0,1805.0,15864.0,16008.0,16192.0,15864.0,14704.0,14800.0,572.0,780.0,1477.0,2279.0,2017.0,2403.0,287.0,2256.0,1995.0,308.0,1.0,4335.0,900.0,-6.0,-1.0,1322.0,2011.0,157.0,156.0,540.0
22,6,12,0.028095644,935.0,1520.0,2202.0,2904.0,1191.0,1863.0,13656.0,14184.0,14456.0,13656.0,13328.0,13456.0,444.0,671.0,1016.0,412.0,382.0,446.0,34.0,410.0,407.0,483.0,2.0,7205.0,-58.0,-7.0,2.0,1652.0,3584.0,157.0,156.0,374.0
23,9,2,0.40817466,285.0,602.0,1573.0,1140.0,1870.0,4672.0,14200.0,14440.0,14576.0,14200.0,13888.0,14216.0,1150.0,1742.0,2833.0,818.0,731.0,935.0,158.0,912.0,831.0,13417.0,0.0,-9030.0,-415.0,-5.0,6.0,28.0,-820.0,157.0,157.0,856.0
24,50,4,0.018,957.0,1856.0,2832.0,2890.0,1484.0,2088.0,15336.0,15624.0,15880.0,15336.0,14360.0,14480.0,740.0,866.0,1574.0,682.0,625.0,729.0,77.0,767.0,747.0,147.0,3.0,6647.0,-713.0,-3.0,-1.0,990.0,1144.0,156.0,156.0,117.0
25,21,9,0.884861,137.0,220.0,2088.0,534.0,3770.0,8096.0,15008.0,15056.0,15160.0,15008.0,14640.0,14760.0,1426.0,1807.0,3526.0,2917.0,2655.0,3141.0,445.0,3474.0,3379.0,815.0,0.0,-4634.0,807.0,-13.0,0.0,39.0,10658.0,157.0,156.0,875.0
26,7,10,0.0159,662.0,1030.0,1554.0,2520.0,1057.0,2026.0,14736.0,14992.0,15576.0,14736.0,13720.0,13984.0,473.0,713.0,1133.0,655.0,621.0,730.0,77.0,753.0,810.0,97.0,1.0,-9449.0,-38.0,-1.0,3.0,1652.0,100.0,156.0,157.0,373.0
27,7,9,0.016595,646.0,972.0,1567.0,2534.0,1151.0,2290.0,15032.0,15552.0,15808.0,15032.0,14016.0,14240.0,473.0,713.0,1133.0,1013.0,894.0,1084.0,124.0,1075.0,1070.0,81.0,1.0,-9449.0,-38.0,-1.0,3.0,1652.0,100.0,156.0,157.0,373.0
28,53,5,0.74331397,148.0,255.0,3212.0,548.0,5480.0,8640.0,14472.0,14776.0,14888.0,14472.0,14384.0,14536.0,721.0,1171.0,1933.0,1838.0,1620.0,2029.0,366.0,1472.0,1779.0,15123.0,6.0,8688.0,486.0,-12.0,17.0,370.0,-2042.0,152.0,156.0,1.0
29,17,8,0.92453265,114.0,191.0,3026.0,442.0,5328.0,8784.0,14512.0,14776.0,14848.0,14512.0,14368.0,14488.0,553.0,952.0,1858.0,2238.0,2069.0,2481.0,408.0,2184.0,2126.0,881.0,3.0,-5973.0,-415.0,-12.0,14.0,364.0,486.0,155.0,156.0,33.0
30,50,5,0.00099,1090.0,2027.0,2824.0,3222.0,1187.0,1641.0,15712.0,16016.0,16352.0,15712.0,14576.0,14816.0,672.0,824.0,1715.0,821.0,754.0,886.0,97.0,755.0,1126.0,1897.0,3.0,6647.0,-713.0,-3.0,-1.0,990.0,1144.0,156.0,156.0,117.0
31,103,12,0.0,1629.0,4896.0,5892.0,7232.0,764.0,925.0,14704.0,14976.0,15184.0,14704.0,14088.0,14216.0,999.0,1223.0,1757.0,883.0,764.0,945.0,107.0,917.0,1017.0,0.0,0.0,-4901.0,827.0,-1.0,1.0,578.0,301.0,157.0,157.0,696.0
32,43,4,0.025787005,788.0,1422.0,2360.0,2476.0,1741.0,2624.0,14736.0,15248.0,15552.0,14736.0,13712.0,13832.0,494.0,706.0,989.0,569.0,530.0,620.0,102.0,570.0,693.0,320.0,3.0,-3921.0,914.0,-3.0,-1.0,1664.0,-1498.0,156.0,156.0,116.0
33,39,11,0.054365583,663.0,1431.0,2722.0,1858.0,1975.0,3108.0,13304.0,13584.0,13984.0,13304.0,13368.0,13528.0,278.0,333.0,562.0,245.0,221.0,268.0,31.0,287.0,288.0,439.0,9.0,-9555.0,148.0,5.0,37.0,3513.0,-2751.0,147.0,156.0,0.0
34,103,8,0.0,1631.0,4860.0,5900.0,6912.0,770.0,937.0,15616.0,15840.0,16032.0,15616.0,14864.0,15032.0,1043.0,1176.0,1521.0,2545.0,2278.0,2727.0,375.0,2864.0,2208.0,30.0,0.0,-4901.0,827.0,-1.0,1.0,578.0,301.0,157.0,157.0,696.0
35,68,10,0.773432,221.0,373.0,1349.0,811.0,2045.0,5668.0,13512.0,13984.0,14248.0,13512.0,13592.0,13856.0,542.0,845.0,1587.0,900.0,814.0,988.0,167.0,967.0,1080.0,1180.0,2.0,8999.0,384.0,0.0,8.0,525.0,-578.0,156.0,157.0,361.0
36,7,8,0.011466667,773.0,1190.0,1880.0,2958.0,1312.0,2232.0,15752.0,15936.0,16064.0,15752.0,14312.0,14432.0,466.0,661.0,1105.0,1453.0,1314.0,1555.0,169.0,1412.0,1325.0,381.0,1.0,-9449.0,-38.0,-1.0,3.0,1652.0,100.0,156.0,157.0,373.0
37,7,6,0.309,503.0,860.0,2232.0,1886.0,2472.0,4244.0,15096.0,15368.0,15592.0,15096.0,14312.0,14448.0,480.0,661.0,1178.0,1166.0,1051.0,1269.0,157.0,1565.0,1402.0,1005.0,1.0,-9449.0,-38.0,-1.0,3.0,1652.0,100.0,156.0,157.0,373.0
38,21,11,0.83925915,202.0,399.0,2102.0,688.0,3280.0,6804.0,14416.0,14784.0,15072.0,14416.0,14032.0,14432.0,1307.0,1775.0,3374.0,1272.0,1103.0,1417.0,272.0,1423.0,1684.0,182.0,0.0,-4634.0,807.0,-13.0,0.0,39.0,10658.0,157.0,156.0,875.0
39,7,6,0.1315,728.0,1178.0,2312.0,2616.0,2034.0,3240.0,15304.0,15904.0,16112.0,15304.0,14320.0,14512.0,466.0,661.0,1105.0,1166.0,1051.0,1269.0,157.0,1251.0,1235.0,365.0,1.0,-9449.0,-38.0,-1.0,3.0,1652.0,100.0,156.0,157.0,373.0
40,22,2,0.48730978,243.0,484.0,2040.0,989.0,2944.0,6092.0,14576.0,14720.0,14840.0,14576.0,14160.0,14360.0,1472.0,1848.0,3498.0,939.0,788.0,1111.0,204.0,1264.0,1253.0,1038.0,2.0,431.0,-937.0,-12.0,2.0,43.0,1710.0,157.0,156.0,873.0
41,19,5,0.7733185,157.0,280.0,3182.0,559.0,5348.0,8560.0,14408.0,14712.0,14840.0,14408.0,14304.0,14464.0,509.0,917.0,1772.0,1274.0,1051.0,1608.0,349.0,1387.0,1439.0,539.0,1.0,4123.0,-884.0,-3.0,11.0,367.0,-1484.0,155.0,157.0,35.0
42,103,11,0.0,1626.0,4936.0,5908.0,6772.0,727.0,894.0,15128.0,15240.0,15416.0,15128.0,14304.0,14520.0,1065.0,1225.0,1749.0,1096.0,958.0,1160.0,133.0,1090.0,1284.0,0.0,0.0,-4901.0,827.0,-1.0,1.0,578.0,301.0,157.0,157.0,696.0
43,44,12,0.021198224,697.0,1655.0,2308.0,2124.0,958.0,1645.0,13216.0,13504.0,14080.0,13216.0,13024.0,13568.0,613.0,719.0,919.0,471.0,416.0,498.0,73.0,418.0,500.0,380.0,3.0,-3921.0,914.0,-3.0,-1.0,1664.0,-1498.0,156.0,156.0,116.0
44,19,3,0.73574036,256.0,451.0,1864.0,995.0,2792.0,6104.0,13176.0,13584.0,14560.0,13176.0,13336.0,13888.0,529.0,904.0,1872.0,514.0,457.0,560.0,111.0,396.0,470.0,525.0,1.0,4123.0,-884.0,-3.0,11.0,367.0,-1484.0,155.0,157.0,35.0
45,44,6,0.01355,776.0,1333.0,2240.0,2474.0,1612.0,2544.0,14928.0,15776.0,16264.0,14928.0,14360.0,14520.0,494.0,706.0,989.0,919.0,806.0,958.0,107.0,1016.0,1014.0,364.0,3.0,-3921.0,914.0,-3.0,-1.0,1664.0,-1498.0,156.0,156.0,116.0
46,9,4,0.91208,127.0,209.0,3466.0,419.0,5904.0,8864.0,14656.0,14808.0,14992.0,14656.0,14520.0,14728.0,1081.0,2062.0,3632.0,1573.0,1494.0,1664.0,194.0,1382.0,1846.0,1841.0,0.0,-9030.0,-415.0,-5.0,6.0,28.0,-820.0,157.0,157.0,856.0
47,52,1,0.47807667,200.0,492.0,1218.0,980.0,1442.0,4184.0,13784.0,14048.0,14488.0,13784.0,13600.0,14016.0,623.0,1212.0,1840.0,458.0,404.0,507.0,72.0,471.0,391.0,5821.0,10.0,-4753.0,-876.0,-13.0,13.0,351.0,-2414.0,153.0,155.0,14.0
48,102,6,0.0,2144.0,4516.0,5380.0,6548.0,867.0,914.0,15440.0,15664.0,15936.0,15440.0,14992.0,15048.0,1225.0,1425.0,2609.0,2227.0,1935.0,2699.0,426.0,3124.0,2901.0,46.0,1.0,-6829.0,-664.0,-3.0,4.0,285.0,-786.0,157.0,157.0,1105.0
49,54,12,0.86811537,170.0,374.0,1107.0,823.0,1600.0,4632.0,13680.0,13880.0,14360.0,13680.0,13632.0,13800.0,685.0,1013.0,2292.0,553.0,510.0,645.0,105.0,735.0,610.0,742.0,6.0,8688.0,486.0,-12.0,17.0,370.0,-2042.0,152.0,156.0,1.0
50,50,7,0.0064,1025.0,2068.0,2992.0,3198.0,1413.0,1926.0,15712.0,16032.0,16184.0,15712.0,14880.0,15000.0,667.0,858.0,1495.0,2391.0,2068.0,2640.0,505.0,2370.0,2067.0,669.0,3.0,6647.0,-713.0,-3.0,-1.0,990.0,1144.0,156.0,156.0,117.0
51,25,8,0.01685,631.0,1497.0,3132.0,2736.0,2254.0,3388.0,15576.0,15792.0,15976.0,15576.0,14680.0,14832.0,617.0,791.0,1638.0,2279.0,2017.0,2403.0,287.0,2768.0,2307.0,3076.0,1.0,4335.0,900.0,-6.0,-1.0,1322.0,2011.0,157.0,156.0,540.0
52,14,1,0.8495,147.0,238.0,2928.0,521.0,5072.0,8496.0,14944.0,15064.0,15096.0,14944.0,14736.0,14768.0,3398.0,3568.0,4009.0,2756.0,2630.0,2867.0,197.0,2635.0,3032.0,282.0,11.0,-3071.0,945.0,-22.0,40.0,125.0,-412.0,152.0,155.0,10.0
53,54,11,0.8568429,211.0,460.0,1465.0,822.0,1974.0,5188.0,13864.0,14216.0,14536.0,13864.0,13824.0,14168.0,652.0,1364.0,2733.0,809.0,685.0,868.0,113.0,686.0,992.0,14262.0,6.0,8688.0,486.0,-12.0,17.0,370.0,-2042.0,152.0,156.0,1.0
54,71,1,0.024145,547.0,1456.0,2268.0,2084.0,1208.0,2102.0,14048.0,14232.0,14488.0,14048.0,13776.0,13920.0,981.0,1211.0,1656.0,621.0,567.0,643.0,104.0,621.0,675.0,628.0,4.0,-4882.0,836.0,-4.0,0.0,805.0,-1387.0,156.0,156.0,88.0
55,11,5,0.978418,142.0,129.0,3220.0,335.0,5984.0,9232.0,14696.0,14960.0,15080.0,14696.0,14680.0,14800.0,1164.0,1802.0,3134.0,2343.0,2205.0,2553.0,391.0,2485.0,2630.0,834.0,0.0,-5372.0,822.0,-2.0,6.0,27.0,593.0,157.0,157.0,856.0
56,45,3,1.8e-05,670.0,1145.0,1733.0,2328.0,1410.0,2756.0,14016.0,14520.0,14920.0,14016.0,13640.0,13704.0,523.0,587.0,1031.0,496.0,454.0,542.0,60.0,548.0,523.0,662.0,3.0,-3921.0,914.0,-3.0,-1.0,1664.0,-1498.0,156.0,156.0,116.0
57,22,4,0.6822145,256.0,463.0,2632.0,1136.0,4016.0,7080.0,14720.0,14952.0,15208.0,14720.0,14400.0,14512.0,1328.0,1703.0,3100.0,1544.0,1437.0,1686.0,257.0,1383.0,1750.0,9719.0,2.0,431.0,-937.0,-12.0,2.0,43.0,1710.0,157.0,156.0,873.0
58,5,4,0.848068,294.0,641.0,3302.0,1184.0,4404.0,6440.0,14432.0,14904.0,15264.0,14432.0,14136.0,14512.0,914.0,1553.0,2448.0,1123.0,1013.0,1281.0,181.0,1676.0,1572.0,760.0,1.0,7876.0,504.0,-3.0,1.0,183.0,234.0,157.0,156.0,481.0
59,53,8,0.847,81.0,140.0,3070.0,312.0,5448.0,9120.0,14856.0,14952.0,15056.0,14856.0,14656.0,14752.0,666.0,1129.0,2452.0,2863.0,2588.0,3075.0,437.0,2863.0,2661.0,751.0,6.0,8688.0,486.0,-12.0,17.0,370.0,-2042.0,152.0,156.0,1.0
60,23,12,0.57694024,183.0,380.0,1886.0,707.0,2956.0,6648.0,14320.0,14448.0,14648.0,14320.0,14040.0,14120.0,1144.0,2211.0,3416.0,997.0,856.0,1138.0,259.0,1042.0,1089.0,24902.0,1.0,9548.0,-270.0,-8.0,3.0,42.0,400.0,157.0,156.0,875.0
61,5,2,0.56278104,557.0,1206.0,2448.0,1732.0,1849.0,3128.0,13544.0,13808.0,14896.0,13544.0,13552.0,13928.0,852.0,1389.0,2313.0,615.0,526.0,668.0,157.0,670.0,646.0,1047.0,1.0,7876.0,504.0,-3.0,1.0,183.0,234.0,157.0,156.0,481.0
62,4,12,0.90376455,301.0,570.0,1538.0,1201.0,1912.0,4592.0,13616.0,14024.0,14312.0,13616.0,13584.0,13968.0,793.0,1237.0,2453.0,683.0,564.0,735.0,134.0,804.0,775.0,682.0,2.0,-882.0,974.0,-2.0,4.0,192.0,-1840.0,156.0,157.0,486.0
63,24,7,0.00087,716.0,1748.0,2518.0,3130.0,1044.0,1739.0,15864.0,16224.0,16384.0,15864.0,14800.0,14872.0,632.0,784.0,1670.0,2143.0,2041.0,2308.0,252.0,2049.0,1971.0,201.0,1.0,4335.0,900.0,-6.0,-1.0,1322.0,2011.0,157.0,156.0,540.0
64,74,9,0.22616017,474.0,945.0,2564.0,1743.0,3020.0,4840.0,14608.0,14856.0,15080.0,14608.0,14024.0,14408.0,636.0,876.0,1472.0,1457.0,1322.0,1548.0,198.0,1308.0,1438.0,6476.0,2.0,9831.0,-67.0,0.0,2.0,588.0,-319.0,157.0,157.0,245.0
65,73,6,0.4355,332.0,720.0,3196.0,1150.0,4092.0,6308.0,14760.0,15096.0,15264.0,14760.0,14216.0,14432.0,650.0,804.0,1528.0,1872.0,1698.0,1963.0,206.0,1619.0,1695.0,796.0,1.0,5685.0,788.0,0.0,0.0,584.0,3795.0,157.0,157.0,257.0
66,69,1,0.83125615,1199.0,1195.0,1688.0,695.0,1249.0,1710.0,12600.0,13176.0,13448.0,12600.0,12840.0,13208.0,554.0,887.0,1687.0,428.0,320.0,498.0,114.0,473.0,394.0,2245.0,2.0,9094.0,-308.0,0.0,3.0,521.0,-106.0,157.0,156.0,356.0
67,25,8,0.01422334,651.0,1507.0,2644.0,2596.0,1796.0,2960.0,15624.0,15864.0,15976.0,15624.0,14728.0,14760.0,641.0,774.0,1700.0,2279.0,2017.0,2403.0,287.0,2310.0,2257.0,389.0,1.0,4335.0,900.0,-6.0,-1.0,1322.0,2011.0,157.0,156.0,540.0
68,12,3,0.767,243.0,415.0,2592.0,790.0,4292.0,7392.0,15072.0,15160.0,15224.0,15072.0,14696.0,14760.0,3398.0,3568.0,4009.0,2815.0,2660.0,2974.0,238.0,3307.0,3161.0,725.0,11.0,-3071.0,945.0,-22.0,40.0,125.0,-412.0,152.0,155.0,10.0
69,23,10,0.634781,176.0,393.0,2038.0,719.0,3236.0,7004.0,14416.0,14992.0,15160.0,14416.0,14328.0,14680.0,1278.0,1842.0,3248.0,1816.0,1603.0,2007.0,367.0,2010.0,2262.0,466.0,1.0,9548.0,-270.0,-8.0,3.0,42.0,400.0,157.0,156.0,875.0
70,7,8,0.005245,931.0,1475.0,2398.0,3200.0,1656.0,2422.0,15688.0,15984.0,16072.0,15688.0,14352.0,14488.0,444.0,671.0,1016.0,1453.0,1314.0,1555.0,169.0,1324.0,1224.0,3813.0,1.0,-9449.0,-38.0,-1.0,3.0,1652.0,100.0,156.0,157.0,373.0
71,18,7,0.926842,105.0,179.0,3354.0,403.0,5848.0,8968.0,14712.0,14832.0,14880.0,14712.0,14456.0,14568.0,547.0,959.0,1874.0,2403.0,2243.0,2511.0,319.0,2438.0,2214.0,695.0,1.0,4123.0,-884.0,-3.0,11.0,367.0,-1484.0,155.0,157.0,35.0
72,25,3,0.0055,755.0,1731.0,2328.0,3284.0,874.0,1441.0,14752.0,15272.0,15560.0,14752.0,13936.0,14200.0,572.0,780.0,1477.0,532.0,474.0,615.0,85.0,572.0,541.0,41.0,1.0,4335.0,900.0,-6.0,-1.0,1322.0,2011.0,157.0,156.0,540.0
73,37,5,2.5e-05,5560.0,5120.0,4680.0,445.0,-408.0,-450.0,13584.0,13808.0,14192.0,13584.0,13480.0,13640.0,225.0,336.0,509.0,445.0,429.0,464.0,65.0,438.0,491.0,2006.0,8.0,-8256.0,564.0,3.0,53.0,3521.0,-2768.0,148.0,157.0,0.0
74,26,2,0.0046250364,714.0,1700.0,2338.0,3128.0,910.0,1573.0,14456.0,14840.0,15208.0,14456.0,13624.0,13920.0,617.0,791.0,1638.0,471.0,428.0,535.0,90.0,441.0,406.0,306.0,1.0,4335.0,900.0,-6.0,-1.0,1322.0,2011.0,157.0,156.0,540.0
75,49,10,0.079,840.0,1622.0,2668.0,2508.0,1610.0,2480.0,15000.0,15272.0,15496.0,15000.0,14496.0,14560.0,726.0,870.0,1570.0,1106.0,969.0,1306.0,209.0,1401.0,1551.0,20.0,2.0,6952.0,-718.0,-3.0,-1.0,992.0,1547.0,156.0,156.0,116.0
76,20,7,0.9069,162.0,263.0,2856.0,622.0,4848.0,8320.0,15096.0,15144.0,15256.0,15096.0,14824.0,14920.0,1320.0,2116.0,2897.0,4220.0,3856.0,4458.0,475.0,4432.0,3960.0,1022.0,1.0,9548.0,-270.0,-8.0,3.0,42.0,400.0,157.0,156.0,875.0
77,37,1,0.041465983,9400.0,1198.0,2789.0,655.0,1719.0,3015.0,12984.0,13136.0,13208.0,12984.0,12792.0,12928.0,220.0,322.0,470.0,212.0,191.0,222.0,22.0,222.0,198.0,4458.0,8.0,-8256.0,564.0,3.0,53.0,3521.0,-2768.0,148.0,157.0,0.0
78,57,11,0.564,335.0,580.0,1514.0,1076.0,1877.0,4460.0,14008.0,14288.0,14568.0,14008.0,13976.0,14248.0,739.0,1356.0,2199.0,873.0,802.0,945.0,112.0,1051.0,1091.0,18026.0,1.0,9485.0,-213.0,-4.0,-1.0,14.0,606.0,157.0,156.0,654.0
79,8,1,0.029294448,624.0,1071.0,1532.0,2156.0,892.0,1780.0,13864.0,14128.0,14416.0,13864.0,13288.0,13424.0,446.0,608.0,1198.0,404.0,390.0,434.0,34.0,394.0,363.0,101.0,2.0,7205.0,-58.0,-7.0,2.0,1652.0,3584.0,157.0,156.0,374.0
80,43,8,0.0049,698.0,1253.0,1981.0,2156.0,1275.0,2296.0,15360.0,15632.0,16104.0,15360.0,14280.0,14472.0,513.0,617.0,902.0,1097.0,975.0,1169.0,173.0,1213.0,1164.0,242.0,3.0,-3921.0,914.0,-3.0,-1.0,1664.0,-1498.0,156.0,156.0,116.0
81,13,3,0.675,180.0,397.0,3582.0,812.0,5444.0,8016.0,15040.0,15144.0,15200.0,15040.0,14720.0,14792.0,3194.0,3489.0,3843.0,2822.0,2648.0,2976.0,241.0,2987.0,3041.0,879.0,9.0,-9448.0,-315.0,-17.0,20.0,125.0,-400.0,154.0,152.0,26.0
82,49,6,0.0033,1017.0,2210.0,3070.0,3324.0,1173.0,1642.0,15768.0,16176.0,16328.0,15768.0,14800.0,15040.0,725.0,891.0,1346.0,1183.0,1076.0,1327.0,202.0,1224.0,1363.0,38.0,2.0,6952.0,-718.0,-3.0,-1.0,992.0,1547.0,156.0,156.0,116.0
